 time,noel,npt,ntens,stress,strain,elstrain,plstrain,dlstrain,pwic,cumwork,heatinc,cumheat,Trise,cumT
0.025000,       2,       8,       2,  0.21991E-11, -0.30001E-04,  0.10996E-16,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.12352E-28,  0.12352E-28,  0.33478E-35,  0.33478E-35
0.025000,       2,       8,       3,  0.20001E+02,  0.10001E-03,  0.10001E-03,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.12352E-28,  0.12352E-28,  0.33478E-35,  0.33478E-35
0.025000,       2,       8,       4,  0.13031E-15,  0.16940E-20,  0.65154E-21,  0.10425E-20,  0.10425E-20,  0.13584E-36,  0.13584E-36,  0.12352E-28,  0.12352E-28,  0.33478E-35,  0.33478E-35
0.025000,       2,       8,       5,  0.10426E-14,  0.13554E-19,  0.52132E-20,  0.83411E-20,  0.83411E-20,  0.86968E-35,  0.86968E-35,  0.12352E-28,  0.12352E-28,  0.33478E-35,  0.33478E-35
0.025000,       2,       8,       6,  0.78195E-15,  0.10165E-19,  0.39098E-20,  0.62556E-20,  0.62556E-20,  0.48916E-35,  0.48916E-35,  0.12352E-28,  0.12352E-28,  0.33478E-35,  0.33478E-35
0.050000,       1,       1,       1,  0.21938E-11, -0.60006E-04,  0.10969E-16,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.23880-317,  0.00000E+00,  0.12352E-28,  0.00000E+00,  0.33478E-35
0.050000,       1,       1,       2,  0.21902E-11, -0.60006E-04,  0.10951E-16,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.12352E-28,  0.00000E+00,  0.33478E-35
0.050000,       1,       1,       3,  0.40004E+02,  0.20002E-03,  0.20002E-03,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.12352E-28,  0.00000E+00,  0.33478E-35
0.050000,       1,       1,       4, -0.15637E-14, -0.20328E-19, -0.78183E-20,  0.00000E+00,  0.00000E+00, -0.00000E+00,  0.13584E-36,  0.00000E+00,  0.12352E-28,  0.00000E+00,  0.33478E-35
0.050000,       1,       1,       5, -0.10430E-14, -0.13559E-19, -0.52149E-20,  0.00000E+00,  0.00000E+00, -0.00000E+00,  0.86968E-35,  0.00000E+00,  0.12352E-28,  0.00000E+00,  0.33478E-35
0.050000,       1,       1,       6, -0.18247E-14, -0.23722E-19, -0.91237E-20,  0.00000E+00,  0.00000E+00, -0.00000E+00,  0.48916E-35,  0.00000E+00,  0.12352E-28,  0.00000E+00,  0.33478E-35
